p25888_i2	Volume of grey matter in Amygdala (left) | Instance 2
p25889_i2	Volume of grey matter in Amygdala (right) | Instance 2
p25822_i2	Volume of grey matter in Angular Gyrus (left) | Instance 2
p25823_i2	Volume of grey matter in Angular Gyrus (right) | Instance 2
p25892_i2	Volume of grey matter in Brain-Stem | Instance 2
p25880_i2	Volume of grey matter in Caudate (left) | Instance 2
p25881_i2	Volume of grey matter in Caudate (right) | Instance 2
p25864_i2	Volume of grey matter in Central Opercular Cortex (left) | Instance 2
p25865_i2	Volume of grey matter in Central Opercular Cortex (right) | Instance 2
p25838_i2	Volume of grey matter in Cingulate Gyrus, anterior division (left) | Instance 2
p25839_i2	Volume of grey matter in Cingulate Gyrus, anterior division (right) | Instance 2
p25840_i2	Volume of grey matter in Cingulate Gyrus, posterior division (left) | Instance 2
p25841_i2	Volume of grey matter in Cingulate Gyrus, posterior division (right) | Instance 2
p25900_i2	Volume of grey matter in Crus I Cerebellum (left) | Instance 2
p25902_i2	Volume of grey matter in Crus I Cerebellum (right) | Instance 2
p25901_i2	Volume of grey matter in Crus I Cerebellum (vermis) | Instance 2
p25903_i2	Volume of grey matter in Crus II Cerebellum (left) | Instance 2
p25905_i2	Volume of grey matter in Crus II Cerebellum (right) | Instance 2
p25904_i2	Volume of grey matter in Crus II Cerebellum (vermis) | Instance 2
p25844_i2	Volume of grey matter in Cuneal Cortex (left) | Instance 2
p25845_i2	Volume of grey matter in Cuneal Cortex (right) | Instance 2
p25830_i2	Volume of grey matter in Frontal Medial Cortex (left) | Instance 2
p25831_i2	Volume of grey matter in Frontal Medial Cortex (right) | Instance 2
p25862_i2	Volume of grey matter in Frontal Operculum Cortex (left) | Instance 2
p25863_i2	Volume of grey matter in Frontal Operculum Cortex (right) | Instance 2
p25846_i2	Volume of grey matter in Frontal Orbital Cortex (left) | Instance 2
p25847_i2	Volume of grey matter in Frontal Orbital Cortex (right) | Instance 2
p25782_i2	Volume of grey matter in Frontal Pole (left) | Instance 2
p25783_i2	Volume of grey matter in Frontal Pole (right) | Instance 2
p25870_i2	Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (left) | Instance 2
p25871_i2	Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (right) | Instance 2
p25886_i2	Volume of grey matter in Hippocampus (left) | Instance 2
p25887_i2	Volume of grey matter in Hippocampus (right) | Instance 2
p25893_i2	Volume of grey matter in I-IV Cerebellum (left) | Instance 2
p25894_i2	Volume of grey matter in I-IV Cerebellum (right) | Instance 2
p25915_i2	Volume of grey matter in IX Cerebellum (left) | Instance 2
p25917_i2	Volume of grey matter in IX Cerebellum (right) | Instance 2
p25916_i2	Volume of grey matter in IX Cerebellum (vermis) | Instance 2
p25792_i2	Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left) | Instance 2
p25793_i2	Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (right) | Instance 2
p25790_i2	Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (left) | Instance 2
p25791_i2	Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right) | Instance 2
p25808_i2	Volume of grey matter in Inferior Temporal Gyrus, anterior division (left) | Instance 2
p25809_i2	Volume of grey matter in Inferior Temporal Gyrus, anterior division (right) | Instance 2
p25810_i2	Volume of grey matter in Inferior Temporal Gyrus, posterior division (left) | Instance 2
p25811_i2	Volume of grey matter in Inferior Temporal Gyrus, posterior division (right) | Instance 2
p25812_i2	Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (left) | Instance 2
p25813_i2	Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (right) | Instance 2
p25784_i2	Volume of grey matter in Insular Cortex (left) | Instance 2
p25785_i2	Volume of grey matter in Insular Cortex (right) | Instance 2
p25828_i2	Volume of grey matter in Intracalcarine Cortex (left) | Instance 2
p25829_i2	Volume of grey matter in Intracalcarine Cortex (right) | Instance 2
p25832_i2	Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (left) | Instance 2
p25833_i2	Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (right) | Instance 2
p25826_i2	Volume of grey matter in Lateral Occipital Cortex, inferior division (left) | Instance 2
p25827_i2	Volume of grey matter in Lateral Occipital Cortex, inferior division (right) | Instance 2
p25824_i2	Volume of grey matter in Lateral Occipital Cortex, superior division (left) | Instance 2
p25825_i2	Volume of grey matter in Lateral Occipital Cortex, superior division (right) | Instance 2
p25852_i2	Volume of grey matter in Lingual Gyrus (left) | Instance 2
p25853_i2	Volume of grey matter in Lingual Gyrus (right) | Instance 2
p25788_i2	Volume of grey matter in Middle Frontal Gyrus (left) | Instance 2
p25789_i2	Volume of grey matter in Middle Frontal Gyrus (right) | Instance 2
p25802_i2	Volume of grey matter in Middle Temporal Gyrus, anterior division (left) | Instance 2
p25803_i2	Volume of grey matter in Middle Temporal Gyrus, anterior division (right) | Instance 2
p25804_i2	Volume of grey matter in Middle Temporal Gyrus, posterior division (left) | Instance 2
p25805_i2	Volume of grey matter in Middle Temporal Gyrus, posterior division (right) | Instance 2
p25806_i2	Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (left) | Instance 2
p25807_i2	Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (right) | Instance 2
p25860_i2	Volume of grey matter in Occipital Fusiform Gyrus (left) | Instance 2
p25861_i2	Volume of grey matter in Occipital Fusiform Gyrus (right) | Instance 2
p25876_i2	Volume of grey matter in Occipital Pole (left) | Instance 2
p25877_i2	Volume of grey matter in Occipital Pole (right) | Instance 2
p25884_i2	Volume of grey matter in Pallidum (left) | Instance 2
p25885_i2	Volume of grey matter in Pallidum (right) | Instance 2
p25836_i2	Volume of grey matter in Paracingulate Gyrus (left) | Instance 2
p25837_i2	Volume of grey matter in Paracingulate Gyrus (right) | Instance 2
p25848_i2	Volume of grey matter in Parahippocampal Gyrus, anterior division (left) | Instance 2
p25849_i2	Volume of grey matter in Parahippocampal Gyrus, anterior division (right) | Instance 2
p25850_i2	Volume of grey matter in Parahippocampal Gyrus, posterior division (left) | Instance 2
p25851_i2	Volume of grey matter in Parahippocampal Gyrus, posterior division (right) | Instance 2
p25866_i2	Volume of grey matter in Parietal Operculum Cortex (left) | Instance 2
p25867_i2	Volume of grey matter in Parietal Operculum Cortex (right) | Instance 2
p25868_i2	Volume of grey matter in Planum Polare (left) | Instance 2
p25869_i2	Volume of grey matter in Planum Polare (right) | Instance 2
p25872_i2	Volume of grey matter in Planum Temporale (left) | Instance 2
p25873_i2	Volume of grey matter in Planum Temporale (right) | Instance 2
p25814_i2	Volume of grey matter in Postcentral Gyrus (left) | Instance 2
p25815_i2	Volume of grey matter in Postcentral Gyrus (right) | Instance 2
p25794_i2	Volume of grey matter in Precentral Gyrus (left) | Instance 2
p25795_i2	Volume of grey matter in Precentral Gyrus (right) | Instance 2
