Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	V2	V6	V7	link	new_col_name	value_to_detect	date_col
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_0	NA	NA			gt.90%	p53_i0
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_1	NA	NA			gt.90%	p53_i1
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_2	NA	NA			gt.90%	p53_i2
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_0	NA	NA			1	p53_i0
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_0	NA	NA			5	p53_i0
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_1	NA	NA			1	p53_i1
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_1	NA	NA			5	p53_i1
738	Average total household income before tax	497382	618765	p738_Date_first_reported_1_Average_total_household_income_before_tax_._Instance_2	NA	NA			1	p53_i2
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_2	NA	NA			5	p53_i2
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_0	NA	NA			lt.10%	p53_i0
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_1	NA	NA			lt.10%	p53_i1
757	Time employed in main current job	288871	328892	p757_Date_first_reported_lt.10._Time_employed_in_main_current_job_._Instance_2	NA	NA			lt.10%	p53_i2
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_0	NA	NA			gt.90%	p53_i0
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_1	NA	NA			gt.90%	p53_i1
1160	Sleep duration	501296	624065	p1160_Date_first_reported_gt.90._Sleep_duration_._Instance_2	NA	NA			gt.90%	p53_i2
1200	Sleeplessness / insomnia	501292	624061	p1200_Date_first_reported_gt.2_Sleeplessness_._insomnia_._Instance_0	NA	NA			gt.2	p53_i0
