Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	new_col_name	link	value_to_detect	date_col	field_category
1	Population characteristics				NA			NA
2	Ongoing characteristics							NA
31	Sex	502150	502150					NA
33	Date of birth	502150	502150					NA
53	Date of attending assessment centre	502150	625904					NA
54	UK Biobank assessment centre	502150	625872					NA
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_0		gt.90%	p53_i0	Assessment centre:Biological sampling:Blood sample collection
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_0		gt.90%	p53_i0	Assessment centre:Biological sampling:Blood sample collection
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_0		gt.90%	p53_i0	Assessment centre:Biological sampling:Blood sample collection
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_2		gt.90%	p53_i2	Assessment centre:Biological sampling:Blood sample collection
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_2		gt.90%	p53_i2	Assessment centre:Biological sampling:Blood sample collection
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_2		gt.90%	p53_i2	Assessment centre:Biological sampling:Blood sample collection
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_1		gt.90%	p53_i1	Assessment centre:Biological sampling:Blood sample collection
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_1		gt.90%	p53_i1	Assessment centre:Biological sampling:Blood sample collection
68	Number of blood samples taken	500995	623544	p68_Date_first_reported_gt.90._Number_of_blood_samples_taken_._Instance_1		gt.90%	p53_i1	Assessment centre:Biological sampling:Blood sample collection
76	Indices of Multiple Deprivation							NA
87	Non-cancer illness year/age first occurred	397077	1376250					NA
100	Brain MRI							NA
116	Cognitive function online							NA
117	Pairs matching							NA
118	Fluid intelligence / reasoning							NA
120	Numeric memory							NA
121	Trail making							NA
122	Symbol digit substitution							NA
129	Place of birth in UK - north co-ordinate	451996	480794					NA
130	Place of birth in UK - east co-ordinate	451996	480794					NA
136	Mental health							NA
137	Mental distress							NA
138	Depression							NA
140	Anxiety							NA
142	Alcohol use							NA
146	Self-harm behaviours							NA
147	Happiness and subjective well-being							NA
154	Experience of pain							NA
155	Mood							NA
160	Health and well-being							NA
161	Matrix pattern completion							NA
163	Neurobiomarkers							NA
180	Whole genome sequences							NA
185	DRAGEN WGS							NA
190	Reason lost to follow-up	1297	1297					NA
191	Date lost to follow-up	1297	1297					NA
205	Sleep							NA
206	Sleep behaviour							NA
208	Quality of sleep							NA
209	Insomnia							NA
210	Sleep disturbances							NA
270	GATK and GraphTyper							NA
399	Number of incorrect matches in round	498709	1289304					NA
501	Matrix pattern completion							NA
502	Symbol digit substitution							NA
503	Tower rearranging							NA
504	Picture vocabulary							NA
505	Trail making							NA
506	Paired associate learning							NA
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_1		5	p53_i1	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_1		5	p53_i1	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_1		5	p53_i1	Assessment centre:Touchscreen:Sociodemographics
738	Average total household income before tax	497382	618765	p738_Date_first_reported_5_Average_total_household_income_before_tax_._Instance_1		5	p53_i1	Assessment centre:Touchscreen:Sociodemographics
