Event,Data sub-type,Data type,Data source,Points,Group
p130836_Date_F00_first_reported_dementia_in_alzheimers_disease,dementia,cognitive,ICD-10,5,AA
p130838_Date_F01_first_reported_vascular_dementia,dementia,cognitive,ICD-10,5,AA
p130840_Date_F02_first_reported_dementia_in_other_diseases_classified_elsewhere,dementia,cognitive,ICD-10,5,AA
p130842_Date_F03_first_reported_unspecified_dementia,dementia,cognitive,ICD-10,5,AA
p131036_Date_G30_first_reported_alzheimers_disease,dementia,cognitive,ICD-10,5,AA
Date_Death_caused_by_Alzheimer_disease_unspecified,dementia,cognitive,ICD-10,5,AA
p130846_Date_F05_first_reported_delirium._not_induced_by_alcohol_and_other_psychoactive_substances,delirium or disorientation,cognitive,ICD-10,5,AA
pNA_Date_F051_first_reported_Delirium_superimposed_on_dementia,delirium or disorientation,cognitive,ICD-10,5,AA
pNA_Date_F059_first_reported_Delirium_unspecified,delirium or disorientation,cognitive,ICD-10,5,AA
pNA_Date_R410_first_reported_Disorientation_unspecified,delirium or disorientation,cognitive,ICD-10,5,AA
,,,,,
p20016_Date_first_reported_Fluid_intelligence_score__Instance_3,intelligence,cognitive,assessment outcome,3,BA
p20016_Date_first_reported_lt.10._Fluid_intelligence_score__Instance_0,intelligence,cognitive,assessment outcome,3,BA
p20016_Date_first_reported_lt.10._Fluid_intelligence_score__Instance_1,intelligence,cognitive,assessment outcome,3,BA
p20016_Date_first_reported_lt.10._Fluid_intelligence_score__Instance_2,intelligence,cognitive,assessment outcome,3,BA
,,,,,
p20023_Date_first_reported_lt.10._Mean_time_to_correctly_identify_matches__Instance_0,intelligence,cognitive,assessment outcome,3,CA
p20023_Date_first_reported_lt.10._Mean_time_to_correctly_identify_matches__Instance_1,intelligence,cognitive,assessment outcome,3,CA
p20023_Date_first_reported_lt.10._Mean_time_to_correctly_identify_matches__Instance_2,intelligence,cognitive,assessment outcome,3,CA
p20023_Date_first_reported_Mean_time_to_correctly_identify_matches__Instance_3,intelligence,cognitive,assessment outcome,3,CA
,,,,,
p20139_Date_first_reported_lt.10._Number_of_letters_correctly_identified__Instance_2,intelligence,cognitive,assessment outcome,3,DA
,,,,,
p20159_Date_first_reported_lt.90._Number_of_symbol_digit_matches_made_correctly_._Instance_0,intelligence,cognitive,assessment outcome,3,EA
p20159_Date_first_reported_lt.90._Number_of_symbol_digit_matches_made_correctly_._Instance_1,intelligence,cognitive,assessment outcome,3,EA
p23324_Date_first_reported_lt.10._Number_of_symbol_digit_matches_made_correctly__Instance_2,intelligence,cognitive,assessment outcome,3,EA
p23324_Date_first_reported_Number_of_symbol_digit_matches_made_correctly__Instance_3,intelligence,cognitive,assessment outcome,3,EA
,,,,,
p20197_Date_first_reported_lt.10._Number_of_word_pairs_correctly_associated__Instance_2,intelligence,cognitive,assessment outcome,3,FA
p20197_Date_first_reported_Number_of_word_pairs_correctly_associated__Instance_3,intelligence,cognitive,assessment outcome,3,FA
,,,,,
p20760_Date_first_reported_lt.10._Number_of_puzzles_correctly_solved_._Instance_1,intelligence,cognitive,assessment outcome,3,GA
,,,,,
p21004_Date_first_reported_lt.10._Number_of_puzzles_correct__Instance_2,intelligence,cognitive,assessment outcome,3,HA
p21004_Date_first_reported_Number_of_puzzles_correct__Instance_3,intelligence,cognitive,assessment outcome,3,HA
,,,,,
p26302_Date_first_reported_lt.10._Specific_cognitive_ability_AS__Instance_2,intelligence,cognitive,assessment outcome,3,IA
,,,,,
p6348_Date_first_reported_Duration_to_complete_numeric_path_trail_.1__Instance_3,intelligence,cognitive,assessment outcome,3,JA
