column value_to_detect new_col date_col
p738_i0_Average_total_household_income_before_tax_._Instance_0 1 NA NA
p738_i0_Average_total_household_income_before_tax_._Instance_0 5 NA NA
p738_i1_Average_total_household_income_before_tax_._Instance_1 1 NA NA
p738_i1_Average_total_household_income_before_tax_._Instance_1 5 NA NA
p738_i2_Average_total_household_income_before_tax_._Instance_2 1 NA NA
p738_i2_Average_total_household_income_before_tax_._Instance_2 5 NA NA
p738_i3_Average_total_household_income_before_tax_._Instance_3 1 NA NA
p738_i3_Average_total_household_income_before_tax_._Instance_3 5 NA NA
p6142_i0_Current_employment_status_._Instance_0 4 unemployed_due_to_sickness_i0 NA
p6142_i1_Current_employment_status_._Instance_1 4 unemployed_due_to_sickness_i1 NA
p6142_i2_Current_employment_status_._Instance_2 4 unemployed_due_to_sickness_i2 NA
p6142_i3_Current_employment_status_._Instance_3 4 unemployed_due_to_sickness_i3 NA
p757_i0_Time_employed_in_main_current_job_._Instance_0 lt:10% NA NA
p757_i1_Time_employed_in_main_current_job_._Instance_1 lt:10% NA NA
p757_i2_Time_employed_in_main_current_job_._Instance_2 lt:10% NA NA
p757_i3_Time_employed_in_main_current_job_._Instance_3 lt:10% NA NA
p6146_i0_Attendance.disability.mobility_allowance_._Instance_0 [2,3] NA NA
p6146_i1_Attendance.disability.mobility_allowance_._Instance_1 [2,3] NA NA
p6146_i2_Attendance.disability.mobility_allowance_._Instance_2 [2,3] NA NA
p6146_i3_Attendance.disability.mobility_allowance_._Instance_3 [2,3] NA NA
p22036_i0_At_or_above_moderate.vigorous.walking_recommendation_._Instance_0 1 NA NA
p22036_i1_At_or_above_moderate.vigorous.walking_recommendation_._Instance_1 1 NA NA
p22036_i2_At_or_above_moderate.vigorous.walking_recommendation_._Instance_2 1 NA NA
p22036_i3_At_or_above_moderate.vigorous.walking_recommendation_._Instance_3 1 NA NA
p22032_i0_IPAQ_activity_group_._Instance_0 gt:1 NA NA
p22032_i1_IPAQ_activity_group_._Instance_1 gt:1 NA NA
p22032_i2_IPAQ_activity_group_._Instance_2 gt:1 NA NA
p22032_i3_IPAQ_activity_group_._Instance_3 gt:1 NA NA
p22040_i0_Summed_MET_minutes_per_week_for_all_activity_._Instance_0 lt:20% NA NA
p22040_i1_Summed_MET_minutes_per_week_for_all_activity_._Instance_1 lt:20% NA NA
p22040_i2_Summed_MET_minutes_per_week_for_all_activity_._Instance_2 lt:20% NA NA
p22040_i3_Summed_MET_minutes_per_week_for_all_activity_._Instance_3 lt:20% NA NA
p1160_i0_Sleep_duration_._Instance_0 gt:90% NA NA
p1160_i1_Sleep_duration_._Instance_1 gt:90% NA NA
p1160_i2_Sleep_duration_._Instance_2 gt:90% NA NA
p1160_i3_Sleep_duration_._Instance_3 gt:90% NA NA
p1200_i0_Sleeplessness_._insomnia_._Instance_0 gt:2 NA NA
p1200_i1_Sleeplessness_._insomnia_._Instance_1 gt:2 NA NA
p1200_i2_Sleeplessness_._insomnia_._Instance_2 gt:2 NA NA
p1200_i3_Sleeplessness_._insomnia_._Instance_3 gt:2 NA NA
p1220_i0_Daytime_dozing_._sleeping_._Instance_0 gt:2 NA NA
p1220_i1_Daytime_dozing_._sleeping_._Instance_1 gt:2 NA NA
p1220_i2_Daytime_dozing_._sleeping_._Instance_2 gt:2 NA NA
p1220_i3_Daytime_dozing_._sleeping_._Instance_3 gt:2 NA NA
p20162_i0_Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking_._Instance_0 gt:1 NA NA
p20162_i1_Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking_._Instance_1 gt:1 NA NA
p20162_i2_Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking_._Instance_2 gt:1 NA NA
p20162_i3_Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking_._Instance_3 gt:1 NA NA
p20116_i0_Smoking_status_._Instance_0 gt:1 NA NA
p20116_i1_Smoking_status_._Instance_1 gt:1 NA NA
p20116_i2_Smoking_status_._Instance_2 gt:1 NA NA
p20116_i3_Smoking_status_._Instance_3 gt:1 NA NA
p20117_i0_Alcohol_drinker_status_._Instance_0 gt:1 NA NA
p20117_i1_Alcohol_drinker_status_._Instance_1 gt:1 NA NA
p20117_i2_Alcohol_drinker_status_._Instance_2 gt:1 NA NA
p20117_i3_Alcohol_drinker_status_._Instance_3 gt:1 NA NA
p1558_i0_Alcohol_intake_frequency_._Instance_0 lt:3 NA NA
p1558_i1_Alcohol_intake_frequency_._Instance_1 lt:3 NA NA
p1558_i2_Alcohol_intake_frequency_._Instance_2 lt:3 NA NA
p1558_i3_Alcohol_intake_frequency_._Instance_3 lt:3 NA NA
p20107_i0_Illnesses_of_father_._Instance_0 17434 dad_had_severe_depression_i0 NA
p20107_i1_Illnesses_of_father_._Instance_1 17434 dad_had_severe_depression_i1 NA
p20107_i2_Illnesses_of_father_._Instance_2 17434 dad_had_severe_depression_i2 NA
p20107_i3_Illnesses_of_father_._Instance_3 17434 dad_had_severe_depression_i3 NA
p20110_i0_Illnesses_of_mother_._Instance_0 17434 mum_had_severe_depression_i0 NA
p20110_i1_Illnesses_of_mother_._Instance_1 17434 mum_had_severe_depression_i1 NA
p20110_i2_Illnesses_of_mother_._Instance_2 17434 mum_had_severe_depression_i2 NA
p20110_i3_Illnesses_of_mother_._Instance_3 17434 mum_had_severe_depression_i3 NA
p20107_i0_Illnesses_of_father_._Instance_0 11461 dad_had_parkinsons_disease_i0 NA
p20107_i1_Illnesses_of_father_._Instance_1 11461 dad_had_parkinsons_disease_i1 NA
p20107_i2_Illnesses_of_father_._Instance_2 11461 dad_had_parkinsons_disease_i2 NA
p20107_i3_Illnesses_of_father_._Instance_3 11461 dad_had_parkinsons_disease_i3 NA
p20110_i0_Illnesses_of_mother_._Instance_0 11461 mum_had_parkinsons_disease_i0 NA
p20110_i1_Illnesses_of_mother_._Instance_1 11461 mum_had_parkinsons_disease_i1 NA
p20110_i2_Illnesses_of_mother_._Instance_2 11461 mum_had_parkinsons_disease_i2 NA
p20110_i3_Illnesses_of_mother_._Instance_3 11461 mum_had_parkinsons_disease_i3 NA
p20107_i0_Illnesses_of_father_._Instance_0 33764 dad_had_alzheimers_i0 NA
p20107_i1_Illnesses_of_father_._Instance_1 33764 dad_had_alzheimers_i1 NA
p20107_i2_Illnesses_of_father_._Instance_2 33764 dad_had_alzheimers_i2 NA
p20107_i3_Illnesses_of_father_._Instance_3 33764 dad_had_alzheimers_i3 NA
p20110_i0_Illnesses_of_mother_._Instance_0 33764 mum_had_alzheimers_i0 NA
p20110_i1_Illnesses_of_mother_._Instance_1 33764 mum_had_alzheimers_i1 NA
p20110_i2_Illnesses_of_mother_._Instance_2 33764 mum_had_alzheimers_i2 NA
p20110_i3_Illnesses_of_mother_._Instance_3 33764 mum_had_alzheimers_i3 NA
p20111_i0_Illnesses_of_siblings_._Instance_0 37331 sibling_has_severe_depression_i0 NA
p20111_i0_Illnesses_of_siblings_._Instance_0 3696 sibling_has_parkinsons_disease_i0 NA
p20111_i0_Illnesses_of_siblings_._Instance_0 5124 sibling_has_alheimers_i0 NA
p20111_i1_Illnesses_of_siblings_._Instance_1 37331 sibling_has_severe_depression_i1 NA
p20111_i1_Illnesses_of_siblings_._Instance_1 3696 sibling_has_parkinsons_disease_i1 NA
p20111_i1_Illnesses_of_siblings_._Instance_1 5124 sibling_has_alheimers_i1 NA
p20111_i2_Illnesses_of_siblings_._Instance_2 37331 sibling_has_severe_depression_i2 NA
p20111_i2_Illnesses_of_siblings_._Instance_2 3696 sibling_has_parkinsons_disease_i2 NA
p20111_i2_Illnesses_of_siblings_._Instance_2 5124 sibling_has_alheimers_i2 NA
p20111_i3_Illnesses_of_siblings_._Instance_3 37331 sibling_has_severe_depression_i3 NA
p20111_i3_Illnesses_of_siblings_._Instance_3 3696 sibling_has_parkinsons_disease_i3 NA
p20111_i3_Illnesses_of_siblings_._Instance_3 5124 sibling_has_alheimers_i3 NA
p20126_i0_Bipolar_and_major_depression_status_._Instance_0 gt:1 NA NA
p20127_i0_Neuroticism_score_._Instance_0 gt:90% NA NA
p20124_i0_Probable_recurrent_major_depression_moderate_._Instance_0 1 NA NA
p20125_i0_Probable_recurrent_major_depression_severe_._Instance_0 1 NA NA
p20123_i0_Single_episode_of_probable_major_depression_._Instance_0 1 NA NA
p4526_i0_Happiness_._Instance_0 gt:3 NA NA
p4526_i1_Happiness_._Instance_1 gt:3 NA NA
p4526_i2_Happiness_._Instance_2 gt:3 NA NA
p4526_i3_Happiness_._Instance_3 gt:3 NA NA
p2178_i0_Overall_health_rating_._Instance_0 gt:4 NA NA
p2178_i1_Overall_health_rating_._Instance_1 gt:4 NA NA
p2178_i2_Overall_health_rating_._Instance_2 gt:4 NA NA
p2178_i3_Overall_health_rating_._Instance_3 gt:4 NA NA
p2296_i0_Falls_in_the_last_year_._Instance_0 gt:90% NA NA
p2296_i1_Falls_in_the_last_year_._Instance_1 gt:90% NA NA
p2296_i2_Falls_in_the_last_year_._Instance_2 gt:90% NA NA
p2296_i3_Falls_in_the_last_year_._Instance_3 gt:90% NA NA
p6159_i0_Pain_types_experienced_in_last_month_._Instance_0 1 NA NA
p6159_i1_Pain_types_experienced_in_last_month_._Instance_1 1 NA NA
p6159_i2_Pain_types_experienced_in_last_month_._Instance_2 1 NA NA
p6159_i3_Pain_types_experienced_in_last_month_._Instance_3 1 NA NA
p100001_i0_Food_weight_._Instance_0 lt:10% NA NA
p100001_i1_Food_weight_._Instance_1 lt:10% NA NA
p100001_i2_Food_weight_._Instance_2 lt:10% NA NA
